,country,club,trophies
0,England,Liverpool,6.0
1,Spain,Barcelona,5.0
2,Netherlands,Ajax,4.0
3,England,Man United,3.0
4,Italy,Inter,3.0
5,England,Nottm Forest,2.0
6,England,Chelsea,2.0
7,Italy,Juventus,2.0
8,Portugal,Benfica,2.0
9,Portugal,FC Porto,2.0
10,England,Aston Villa,1.0
11,England,Man City,1.0
12,France,PSG,1.0
13,France,Marseille,1.0
14,Germany,Hamburg,1.0
15,Germany,Dortmund,1.0
16,Netherlands,PSV,1.0
17,Netherlands,Feyenoord,1.0
18,Scotland,Celtic,1.0
19,Serbia,Crvena zvezda,1.0
20,Romania,Steaua,1.0
